15.0,0.39
10.0,0.435
10.0,0.4
7.0,0.25
12.0,0.465
8.0,0.205
9.0,0.445
10.0,0.485
10.0,0.43
14.0,0.46
7.0,0.28
10.0,0.4
7.0,0.285
15.0,0.48
10.0,0.43
7.0,0.375
5.0,0.205
7.0,0.33
11.0,0.465
9.0,0.425
9.0,0.34
11.0,0.5
6.0,0.205
6.0,0.345
8.0,0.39
8.0,0.375
6.0,0.285
8.0,0.385
11.0,0.305
12.0,0.41
7.0,0.41
10.0,0.525
10.0,0.355
11.0,0.46
9.0,0.47
6.0,0.33
23.0,0.385
9.0,0.45
6.0,0.23
20.0,0.45
5.0,0.175
8.0,0.315
6.0,0.28
7.0,0.255
9.0,0.305
5.0,0.195
10.0,0.455
20.0,0.525
8.0,0.42
17.0,0.5
12.0,0.405
6.0,0.36
9.0,0.285
18.0,0.51
11.0,0.44
12.0,0.475
5.0,0.22
9.0,0.37
8.0,0.38
15.0,0.545
8.0,0.385
8.0,0.425
8.0,0.365
8.0,0.36
14.0,0.485
13.0,0.55
16.0,0.42
7.0,0.4
9.0,0.365
7.0,0.46
10.0,0.505
7.0,0.365
11.0,0.48
9.0,0.355
9.0,0.44
6.0,0.3
8.0,0.44
10.0,0.385
13.0,0.525
15.0,0.42
11.0,0.45
12.0,0.41
4.0,0.13
13.0,0.495
11.0,0.455
9.0,0.525
12.0,0.48
10.0,0.425
9.0,0.435
10.0,0.5
10.0,0.435
18.0,0.41
9.0,0.255
10.0,0.45
10.0,0.375
9.0,0.41
15.0,0.37
7.0,0.465
17.0,0.56
11.0,0.44
7.0,0.195
9.0,0.35
14.0,0.51
9.0,0.415
14.0,0.355
10.0,0.47
11.0,0.465
13.0,0.39
7.0,0.37
10.0,0.46
13.0,0.4
4.0,0.205
9.0,0.45
10.0,0.485
14.0,0.495
17.0,0.495
10.0,0.51
4.0,0.15
7.0,0.425
10.0,0.325
11.0,0.535
8.0,0.31
10.0,0.49
12.0,0.51
6.0,0.21
7.0,0.375
